product_name,description,price,quantity,categories
Dog Food,"Adult formula, 15kg",49.99,30,Pet Supplies
Cat Litter,"Clumping, 20kg",19.99,50,Pet Supplies
Pet Bed,"Orthopedic, large",59.99,20,Pet Supplies
Dog Leash,"Durable, reflective",14.99,100,Pet Supplies
Pet Carrier,"Soft-sided, airline approved",39.99,40,Pet Supplies
Grooming Kit,"Includes brush and nail clippers",29.99,60,Pet Supplies
Pet Toy Set,"Interactive, chew toys",24.99,75,Pet Supplies
Flea Treatment,"For dogs, 3-month supply",39.99,20,Pet Supplies
Pet Training Pads,"50-pack, absorbent",19.99,50,Pet Supplies
Cat Tree,"Multi-level, with scratching posts",89.99,15,Pet Supplies
