product_name,description,price,quantity,category
Organic Bananas,"Fresh, organic bananas from Ecuador",1.99,100,Produce
Stainless Steel Water Bottle,"24oz, vacuum insulated, BPA-free",15.99,50,Home & Kitchen
Wireless Bluetooth Earbuds,"True wireless, noise-cancelling, 20hr battery life",79.99,30,Electronics
Yoga Mat,"Extra thick 1/2 inch, non-slip, eco-friendly material",24.95,40,Sports & Outdoors
Classic White T-Shirt,"100% cotton, unisex, machine washable",12.50,75,Clothing
Hardcover Notebook,"192 pages, dotted grid, faux leather cover",18.75,60,Office Supplies
Ceramic Coffee Mug,"12oz, microwave and dishwasher safe",9.99,80,Home & Kitchen
LED Desk Lamp,"Adjustable brightness, USB charging port",29.99,25,Home & Kitchen
Organic Almonds,"Raw, unsalted, 1lb bag",13.49,45,Grocery
Moisturizing Face Cream,"For all skin types, fragrance-free, 50ml",22.99,35,Beauty & Personal Care
