product_name,description,price,quantity,categories
Car Vacuum Cleaner,"Portable, 12V",49.99,40,Automotive
Dash Cam,"1080P, wide-angle",79.99,30,Automotive
Car Phone Mount,"Adjustable, magnetic",14.99,100,Automotive
Seat Covers,"Universal fit, durable",39.99,50,Automotive
Tire Pressure Gauge,"Digital, easy read",9.99,150,Automotive
Car Wax,"Liquid, easy application",24.99,60,Automotive
Jump Starter,"Portable, 1200A",89.99,20,Automotive
Floor Mats,"Rubber, all-weather",29.99,70,Automotive
Sun Shade,"Reflective, fits most cars",19.99,80,Automotive
First Aid Kit,"Complete, compact",39.99,50,Automotive
