product_name,description,price,quantity,category
Mountain Bike,"27.5-inch wheels, 21-speed",399.99,10,Cycling
Camping Tent,"4-person, waterproof, easy setup",129.99,25,Camping Gear
Hiking Backpack,"50L capacity, hydration compatible",89.99,30,Outdoor Equipment
Tennis Racket,"Graphite composite, oversized head",159.99,20,Tennis
Inflatable Kayak,"2-person, includes paddles",299.99,15,Water Sports
Running Shoes,"Lightweight, breathable mesh upper",79.99,50,Footwear
Resistance Bands Set,"Set of 5, different resistance levels",19.99,100,Fitness Accessories
Golf Club Set,"Complete set for beginners, right-handed",349.99,10,Golf
Fitness Tracker,"Water-resistant, heart rate monitor",59.99,40,Wearable Tech
Portable Hammock,"Lightweight, quick-drying nylon",39.99,35,Camping Gear
