product_name,description,price,quantity,categories
Building Blocks,"100-piece, colorful",29.99,150,Toys
Board Game,"Strategy game for 2-4 players",39.99,40,Games
Action Figure,"Superhero, 12-inch",19.99,60,Toys
Puzzle,"1000 pieces, scenic view",14.99,80,Toys
Stuffed Animal,"Soft, cuddly, 16-inch",24.99,100,Toys
Dollhouse,"3-story, furnished",129.99,15,Toys
Remote Control Car,"Fast, rechargeable",49.99,30,Toys
Video Game Console,"Latest model, includes 2 controllers",299.99,20,Games
Educational Toy,"STEM learning, age 5+",34.99,70,Toys
Outdoor Game Set,"Frisbee, badminton, and more",39.99,50,Games
